"","seqnames","start","end","width","strand","Conc","Conc_F","Conc_M","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","Symbol.ENTREZID","Symbol.SYMBOL"
"36354","chr18", 47091843, 47092243,401,"*", 5.686224, 6.109738, 5.084157, 0.8212292,1.713479e-04,0.030107527,"Promoter (<=1kb)",18, 47091883, 47221062,129180,1,"69456","ENSMUST00000049388.9",      0,69456,Commd10
"69986","chr8", 47382166, 47382566,401,"*", 4.701003, 5.243749, 3.820711, 0.9233803,1.719691e-04,0.030107527,"Distal Intergenic", 8, 47439922, 47549797,109876,1,"320981","ENSMUST00000039840.15", -57356,320981,Enpp6
"61125","chr6", 66943529, 66943929,401,"*", 4.297742, 4.893333, 3.265380, 0.9254402,1.729003e-04,0.030107527,"Intron (ENSMUST00000043148.13/14701, intron 3 of 4)", 6, 66967015, 66985397, 18383,2,"102640846","ENSMUST00000205197.2",  41468,102640846,Gm36816
"64477","chr7", 19583132, 19583532,401,"*", 5.048492, 5.549192, 4.275247, 0.8674883,1.729615e-04,0.030107527,"Promoter (2-3kb)", 7, 19585928, 19592275,  6348,1,"100502736","ENSMUST00000172815.4",  -2396,100502736,Gm19345
"20146","chr13", 45837349, 45837749,401,"*", 4.405024, 4.984509, 3.421334, 0.9200516,1.734494e-04,0.030107527,"Intron (ENSMUST00000091628.11/20238, intron 6 of 7)",13, 45692285, 45696026,  3742,1,"66355","ENSMUST00000129176.2", 145064,66355,Gmpr
"51125","chr4", 62326630, 62327030,401,"*", 6.587196, 6.985202, 6.035703, 0.7986324,1.735358e-04,0.030107527,"Promoter (<=1kb)", 4, 62301891, 62326879, 24989,2,"66440","ENSMUST00000134727.8",      0,66440,Cdc26
"42116","chr2", 59364727, 59365127,401,"*", 5.103578, 5.583564, 4.379229, 0.8675084,1.737917e-04,0.030107527,"Distal Intergenic", 2, 59315013, 59335364, 20352,1,"76747","ENSMUST00000144415.2",  49714,76747,Dapl1
"30267","chr16", 57051551, 57051951,401,"*", 5.982881, 6.420856, 5.350920, 0.8159866,1.746245e-04,0.030107527,"Promoter (<=1kb)",16, 56989225, 57051867, 62643,2,"67581","ENSMUST00000023431.8",      0,67581,Tbc1d23
"10813","chr11", 57540682, 57541082,401,"*", 4.538302, 5.087100, 3.641655, 0.9010966,1.751817e-04,0.030107527,"Promoter (<=1kb)",11, 57514524, 57540320, 25797,2,"78762","ENSMUST00000142486.2",   -362,78762,4933424L21Rik
"25981","chr15", 53207985, 53208385,401,"*", 5.628660, 6.053023, 5.024864, 0.8325275,1.752472e-04,0.030107527,"Promoter (<=1kb)",15, 52932060, 53209055,276996,2,"14042","ENSMUST00000133362.8",    670,14042,Ext1
"31452","chr17", 12537441, 12537841,401,"*", 6.122467, 6.538258, 5.535995, 0.8047956,1.754372e-04,0.030107527,"Promoter (<=1kb)",17, 12537726, 12555176, 17451,1,"224523","ENSMUST00000241544.1",      0,224523,4732491K20Rik
"12302","chr11", 77922579, 77922979,401,"*", 5.393446, 5.850910, 4.719694, 0.8616915,1.757467e-04,0.030107527,"Promoter (<=1kb)",11, 77923106, 77928692,  5587,1,"70451","ENSMUST00000021187.12",   -127,70451,Dhrs13
"67116","chr7",109545333,109545733,401,"*", 4.683474, 5.224557, 3.807632, 0.8986477,1.766279e-04,0.030107527,"Intron (ENSMUST00000106722.2/19347, intron 1 of 21)", 7,109533266,109559530, 26265,2,"19347","ENSMUST00000151923.2",  13797,19347,Dennd5a
"24221","chr14", 73529531, 73529931,401,"*", 4.351474, 4.953874, 3.297862, 0.9219366,1.768237e-04,0.030107527,"Intron (ENSMUST00000022701.7/19645, intron 4 of 26)",14, 73499840, 73501761,  1922,2,"19645","ENSMUST00000169002.2", -27770,19645,Rb1
"46907","chr3", 37713759, 37714159,401,"*", 4.295886, 4.913210, 3.194201, 0.9290120,1.770722e-04,0.030107527,"Distal Intergenic", 3, 37692728, 37694805,  2078,2,"118568585","ENSMUST00000195887.2", -18954,118568585,Gm42922
"66759","chr7",100265788,100266188,401,"*", 4.694964, 5.234209, 3.824020, 0.8925074,1.773527e-04,0.030107527,"Intron (ENSMUST00000107048.8/19346, intron 1 of 7)", 7,100197916,100257508, 59593,2,"52443","ENSMUST00000146003.9",  -8280,52443,Mrpl48
"32832","chr17", 43662791, 43663191,401,"*", 4.814684, 5.328484, 4.009261, 0.8774615,1.774135e-04,0.030107527,"Distal Intergenic",17, 43671342, 43766963, 95622,1,"224792","ENSMUST00000226087.2",  -8151,224792,Adgrf5
"60457","chr6", 35311805, 35312205,401,"*", 4.334673, 4.940144, 3.271338, 0.9299159,1.781274e-04,0.030107527,"Exon (ENSMUST00000201560.2/73409, exon 2 of 3)", 6, 35307781, 35313760,  5980,1,"73409","ENSMUST00000201560.2",   4024,73409,1700065J11Rik
"53891","chr4",141250579,141250979,401,"*", 5.449245, 5.876318, 4.839905, 0.8586208,1.783116e-04,0.030107527,"Intron (ENSMUST00000078886.10/56381, intron 1 of 14)", 4,141222840,141244220, 21381,2,"56381","ENSMUST00000144500.2",  -6359,56381,Spen
"19328","chr13", 21894267, 21894667,401,"*", 5.365839, 5.853115, 4.624550, 0.8561687,1.783889e-04,0.030107527,"Distal Intergenic",13, 21899933, 21900313,   381,2,"319185","ENSMUST00000091756.2",   5646,319185,H2bc13
"5536","chr10", 22577828, 22578228,401,"*", 4.769850, 5.286351, 3.957664, 0.9084207,1.785201e-04,0.030107527,"3' UTR",10, 22581422, 22582284,   863,2,"237336","ENSMUST00000141569.2",   4056,237336,Tbpl1
"75658","chr9", 71813737, 71814137,401,"*", 4.373323, 4.931172, 3.451733, 0.9218663,1.786832e-04,0.030107527,"Intron (ENSMUST00000183404.8/21406, intron 8 of 20)", 9, 71751555, 71803678, 52124,2,"21406","ENSMUST00000183918.8", -10059,21406,Tcf12
"44751","chr2",147964796,147965196,401,"*", 5.558291, 6.011404, 4.894024, 0.8475712,1.787457e-04,0.030107527,"Distal Intergenic", 2,147993070,147993382,   313,1,"115489641","ENSMUST00000158833.4", -27874,115489641,Gm24221
"54812","chr4",156077210,156077610,401,"*", 6.698332, 7.103532, 6.132845, 0.7672839,1.807030e-04,0.030372036,"Promoter (<=1kb)", 4,156077329,156094667, 17339,1,"20318","ENSMUST00000105579.8",      0,20318,Sdf4
"39784","chr19", 47474698, 47475098,401,"*", 5.986838, 6.415867, 5.373477, 0.8941967,1.823342e-04,0.030402187,"Distal Intergenic",19, 47248613, 47452840,204228,2,"14218","ENSMUST00000081619.10", -21858,14218,Sh3pxd2a
"25689","chr15", 36880317, 36880717,401,"*", 4.605740, 5.145153, 3.734346, 0.9089849,1.825246e-04,0.030402187,"Promoter (<=1kb)",15, 36870744, 36880121,  9378,2,"100038735","ENSMUST00000100713.4",   -196,100038735,Gm10384
"9674","chr11", 22909053, 22909453,401,"*", 5.191048, 5.664347, 4.481989, 0.8653771,1.829343e-04,0.030402187,"Promoter (2-3kb)",11, 22849835, 22906947, 57113,2,"17846","ENSMUST00000161944.2",  -2106,17846,Commd1
"23476","chr14", 55716420, 55716820,401,"*", 6.038859, 6.476016, 5.408612, 0.8377750,1.831430e-04,0.030402187,"Promoter (<=1kb)",14, 55716391, 55725028,  8638,1,"28200","ENSMUST00000228353.2",     29,28200,Dhrs4
"298","chr1", 36407475, 36407875,401,"*", 5.627365, 6.050607, 5.025853, 0.8909057,1.833090e-04,0.030402187,"Promoter (<=1kb)", 1, 36407047, 36408183,  1137,2,"226976","ENSMUST00000188957.2",    308,226976,Kansl3
"65438","chr7", 66956794, 66957194,401,"*", 4.866466, 5.415988, 3.967846, 0.9045828,1.835550e-04,0.030402187,"3' UTR", 7, 66881832, 66966668, 84837,2,"17258","ENSMUST00000135493.8",   9474,17258,Mef2a
"69289","chr8", 24877714, 24878114,401,"*", 4.744125, 5.266623, 3.916765, 0.9012251,1.840209e-04,0.030402187,"Distal Intergenic", 8, 24902195, 24906953,  4759,1,"102632684","ENSMUST00000208709.2", -24081,102632684,Gm30692
"48596","chr3",103017932,103018332,401,"*", 4.221996, 4.823229, 3.172054, 0.9282736,1.843406e-04,0.030402187,"Intron (ENSMUST00000173206.8/329727, intron 1 of 17)", 3,103009976,103064588, 54613,1,"329727","ENSMUST00000166143.9",   7956,329727,Dennd2c
"17945","chr12", 85408121, 85408521,401,"*", 5.173823, 5.647803, 4.463220, 0.8828285,1.845231e-04,0.030402187,"Exon (ENSMUST00000222887.2/ENSMUST00000222887.2, exon 1 of 1)",12, 85387388, 85397694, 10307,2,"68581","ENSMUST00000222529.2", -10427,68581,Tmed10
"59162","chr5",140535805,140536205,401,"*", 4.569666, 5.111228, 3.692541, 0.9183339,1.847863e-04,0.030402187,"Distal Intergenic", 5,140531241,140532147,   907,2,"108169080","ENSMUST00000198212.2",  -3658,108169080,Gm42808
"17822","chr12", 83963639, 83964039,401,"*", 5.981504, 6.404795, 5.379892, 0.8192090,1.851430e-04,0.030402187,"Intron (ENSMUST00000117217.8/18222, intron 1 of 10)",12, 83889008, 83968507, 79500,2,"18222","ENSMUST00000222439.2",   4468,18222,Numb
"1741","chr1", 85828703, 85829103,401,"*", 6.192900, 6.612448, 5.598874, 0.8419016,1.862545e-04,0.030490060,"Intron (ENSMUST00000027425.16/64294, intron 1 of 5)", 1, 85833882, 85835512,  1631,1,"64294","ENSMUST00000139837.2",  -4779,64294,Itm2c
"49846","chr3",148636703,148637103,401,"*", 4.784210, 5.320193, 3.921896, 0.9071168,1.867078e-04,0.030490060,"Intron (ENSMUST00000106128.7/99633, intron 1 of 22)", 3,148521222,148660271,139050,2,"99633","ENSMUST00000106128.7",  23168,99633,Adgrl2
"69967","chr8", 47279625, 47280025,401,"*", 4.636257, 5.181744, 3.748589, 0.8936346,1.868438e-04,0.030490060,"Intron (ENSMUST00000034041.9/16363, intron 6 of 8)", 8, 47260265, 47272006, 11742,1,"16363","ENSMUST00000210334.2",  19360,16363,Irf2
"24678","chr14",100426893,100427293,401,"*", 5.082761, 5.594285, 4.282998, 0.8869652,1.876386e-04,0.030490060,"Intron (ENSMUST00000228216.2/16597, intron 1 of 7)",14,100450578,100482775, 32198,1,"75075","ENSMUST00000140320.9", -23285,75075,4930517O19Rik
"77337","chr9",121872603,121873003,401,"*", 4.799258, 5.324402, 3.965131, 0.8910774,1.877564e-04,0.030490060,"Intron (ENSMUST00000213810.2/105243580, intron 1 of 1)", 9,121876154,121881713,  5560,1,"105243579","ENSMUST00000214091.2",  -3151,105243579,Gm39464
"66288","chr7", 89700441, 89700841,401,"*", 4.551154, 5.089851, 3.681661, 0.9092280,1.883639e-04,0.030490060,"Intron (ENSMUST00000242520.1/319711, intron 1 of 1)", 7, 89693384, 89696264,  2881,2,"102634625","ENSMUST00000246738.1",  -4177,102634625,Gm32164
"65167","chr7", 45682956, 45683356,401,"*", 4.956583, 5.472604, 4.145603, 0.8814468,1.883973e-04,0.030490060,"Promoter (<=1kb)", 7, 45683122, 45733636, 50515,1,"211548","ENSMUST00000033121.7",      0,211548,Nomo1
"16462","chr12", 36976674, 36977074,401,"*", 4.654062, 5.218898, 3.712811, 0.8982346,1.891740e-04,0.030552766,"Distal Intergenic",12, 36927964, 36953032, 25069,1,"105244861","ENSMUST00000221321.2",  48710,105244861,Gm40394
"588","chr1", 43564538, 43564938,401,"*", 4.347436, 4.966850, 3.238852, 0.9259220,1.903614e-04,0.030653615,"Intron (ENSMUST00000187435.7/17974, intron 2 of 2)", 1, 43571565, 43593222, 21658,1,"17974","ENSMUST00000202540.2",  -6627,17974,Nck2
"24579","chr14", 97832943, 97833343,401,"*", 4.723641, 5.259481, 3.861708, 0.8874247,1.919274e-04,0.030653615,"Distal Intergenic",14, 97573931, 97574068,   138,2,"115485955","ENSMUST00000157913.3",-258875,115485955,Gm23276
"34458","chr17", 86663517, 86663917,401,"*", 5.319653, 5.775908, 4.648545, 0.8835726,1.922968e-04,0.030653615,"Intron (ENSMUST00000097275.9/18754, intron 2 of 14)",17, 86592592, 86594606,  2015,2,"72104","ENSMUST00000191222.2", -68911,72104,2010106C02Rik
"78262","chrX",149799924,149800324,401,"*", 5.050139, 5.554189, 4.268762, 0.8654766,1.925079e-04,0.030653615,"Promoter (<=1kb)",20,149766137,149800318, 34182,2,"237107","ENSMUST00000026297.12",      0,237107,Gnl3l
"50873","chr4", 55604866, 55605266,401,"*", 5.699014, 6.143520, 5.053244, 0.8251330,1.932259e-04,0.030653615,"Promoter (<=1kb)", 4, 55605149, 55636901, 31753,1,"102637640","ENSMUST00000123620.2",      0,102637640,Gm12506
"14550","chr11",106795507,106795907,401,"*", 5.041717, 5.553480, 4.241363, 0.8678025,1.934703e-04,0.030653615,"Intron (ENSMUST00000103067.10/66313, intron 1 of 17)",11,106712851,106811101, 98251,2,"66313","ENSMUST00000139297.8",  15194,66313,Smurf2
"34064","chr17", 78703237, 78703637,401,"*", 4.766755, 5.285021, 3.950126, 0.9169914,1.935628e-04,0.030653615,"Intron (ENSMUST00000234052.2/225020, intron 5 of 7)",17, 78685315, 78708859, 23545,2,"225020","ENSMUST00000234601.2",   5222,225020,Fez2
"8234","chr10", 99406000, 99406400,401,"*", 4.520597, 5.084709, 3.581400, 0.9048609,1.935688e-04,0.030653615,"Distal Intergenic",10, 99445033, 99493996, 48964,1,"100504202","ENSMUST00000218263.2", -38633,100504202,Gm20110
"48769","chr3",105720336,105720736,401,"*", 4.430477, 5.004835, 3.461830, 0.9158187,1.940073e-04,0.030653615,"Promoter (2-3kb)", 3,105722842,105724675,  1834,1,"433637","ENSMUST00000196002.3",  -2106,433637,Gm5547
"64878","chr7", 33867662, 33868062,401,"*", 6.066276, 6.482495, 5.478948, 0.8069856,1.941099e-04,0.030653615,"Promoter (<=1kb)", 7, 33840113, 33868000, 27888,2,"50995","ENSMUST00000102746.11",      0,50995,Uba2
"63870","chr6",146663179,146663579,401,"*", 4.885621, 5.382118, 4.122488, 0.8643357,1.945038e-04,0.030653615,"Intron (ENSMUST00000001675.14/232533, intron 3 of 13)", 6,146697553,146707076,  9524,1,"272322","ENSMUST00000123444.2", -33974,272322,Bmal2
"60098","chr6", 29164245, 29164645,401,"*", 5.103008, 5.636300, 4.247766, 0.8785780,1.947186e-04,0.030653615,"Promoter (<=1kb)", 6, 29123575, 29165005, 41431,2,"68272","ENSMUST00000007993.16",    360,68272,Rbm28
"5510","chr10", 21723632, 21724032,401,"*", 4.876823, 5.411959, 4.016741, 0.8947641,1.951643e-04,0.030653615,"Promoter (2-3kb)",10, 21706398, 21720750, 14353,2,"628133","ENSMUST00000180731.2",  -2882,628133,Platr6
"73046","chr9",  3006607,  3007007,401,"*",10.847034,10.542925,11.098066,-0.5631444,1.958083e-04,0.030653615,"Distal Intergenic", 9,  3038669,  3038743,    75,2,"100628572","ENSMUST00000195989.2",  31736,100628572,Mir101c
"10108","chr11", 44618374, 44618774,401,"*", 4.557619, 5.099700, 3.679108, 0.9150517,1.958364e-04,0.030653615,"Intron (ENSMUST00000109268.2/13591, intron 6 of 15)",11, 44512588, 44534286, 21699,1,"13591","ENSMUST00000138452.2", 105786,13591,Ebf1
"76465","chr9",106562595,106562995,401,"*", 6.000160, 6.450278, 5.342369, 0.8315962,1.960469e-04,0.030653615,"Promoter (<=1kb)", 9,106535945,106562881, 26937,2,"21767","ENSMUST00000169068.8",      0,21767,Tex264
"54954","chr5", 16252526, 16252926,401,"*", 4.599989, 5.156723, 3.681505, 0.9240741,1.967297e-04,0.030699214,"Intron (ENSMUST00000167946.9/12293, intron 3 of 38)", 5, 16230712, 16473602,242891,1,"12293","ENSMUST00000200270.2",  21814,12293,Cacna2d1
"11766","chr11", 72461399, 72461799,401,"*", 4.697466, 5.204474, 3.908853, 0.9238862,1.974629e-04,0.030752500,"Promoter (2-3kb)",11, 72463356, 72464156,   801,2,"108167910","ENSMUST00000120676.2",   2357,108167910,Gm12712
"51279","chr4", 82273970, 82274370,401,"*", 5.250903, 5.719991, 4.551357, 0.8808550,1.979731e-04,0.030770901,"Intron (ENSMUST00000050872.15/18028, intron 4 of 11)", 4, 82416781, 82417553,   773,2,"18028","ENSMUST00000152588.2", 143183,18028,Nfib
"47124","chr3", 51326559, 51326959,401,"*", 4.519692, 5.067526, 3.625666, 0.9195841,1.986552e-04,0.030787501,"Promoter (2-3kb)", 3, 51324035, 51350284, 26250,1,"74838","ENSMUST00000192419.6",   2524,74838,Naa15
"25823","chr15", 39806376, 39806776,401,"*", 4.893688, 5.382711, 4.148298, 0.8872882,1.988644e-04,0.030787501,"Promoter (<=1kb)",15, 39741780, 39807086, 65307,2,"239393","ENSMUST00000228575.2",    310,239393,Lrp12
"38487","chr19", 16988626, 16989026,401,"*", 4.520667, 5.077396, 3.602197, 0.9124557,2.003938e-04,0.030963207,"Intron (ENSMUST00000224145.2/353211, intron 4 of 6)",19, 16933482, 17201296,267815,1,"353211","ENSMUST00000087689.5",  55144,353211,Prune2
"4861","chr10",  3644107,  3644507,401,"*", 4.737177, 5.266098, 3.893315, 0.8951425,2.010556e-04,0.030972710,"Distal Intergenic",10,  3668151,  3681979, 13829,1,"102632053","ENSMUST00000241221.1", -23644,102632053,A330032P22Rik
"10269","chr11", 48818951, 48819351,401,"*", 4.882489, 5.395556, 4.078894, 0.8983432,2.017229e-04,0.030972710,"Promoter (<=1kb)",11, 48808859, 48818006,  9148,2,"620913","ENSMUST00000129318.2",   -945,620913,Gm12185
"54126","chr4",148027868,148028268,401,"*", 4.731755, 5.263631, 3.880211, 0.8895097,2.018822e-04,0.030972710,"Promoter (2-3kb)", 4,148025352,148031771,  6420,1,"77034","ENSMUST00000103232.2",   2516,77034,2510039O18Rik
"34396","chr17", 84903452, 84903852,401,"*", 5.315159, 5.774121, 4.638121, 0.8387699,2.023757e-04,0.030972710,"Exon (ENSMUST00000047206.7/213556, exon 21 of 30)",17, 84882978, 84891142,  8165,1,"213556","ENSMUST00000235090.2",  20474,213556,Plekhh2
"67632","chr7",117829880,117830280,401,"*", 4.809268, 5.324088, 4.001298, 0.8722526,2.024283e-04,0.030972710,"Exon (ENSMUST00000207096.2/ENSMUST00000207096.2, exon 1 of 1)", 7,117802988,117842572, 39585,2,"233789","ENSMUST00000179847.2",  12292,233789,Smg1
"77695","chrX", 37723637, 37724037,401,"*", 4.842687, 5.401261, 3.919074, 0.8893831,2.033567e-04,0.030979720,"Promoter (<=1kb)",20, 37719662, 37723964,  4303,2,"59048","ENSMUST00000058265.8",      0,59048,C1galt1c1
"75332","chr9", 66773633, 66774033,401,"*", 4.596028, 5.152833, 3.677345, 0.9005854,2.035602e-04,0.030979720,"Intron (ENSMUST00000041139.9/235442, intron 1 of 7)", 9, 66779817, 66791408, 11592,1,"105245014","ENSMUST00000244563.1",  -5784,105245014,Gm40528
"35672","chr18", 35158012, 35158412,401,"*", 4.765967, 5.273612, 3.975789, 0.8710408,2.036926e-04,0.030979720,"Intron (ENSMUST00000237091.2/102639815, intron 3 of 3)",18, 35116023, 35135522, 19500,1,"102639815","ENSMUST00000238090.2",  41989,102639815,Gm36037
"11361","chr11", 67864448, 67864848,401,"*", 3.907679, 4.574840, 2.628586, 0.9190081,2.040528e-04,0.030979720,"3' UTR",11, 67857332, 67864467,  7136,1,"55943","ENSMUST00000142649.2",   7116,55943,Stx8
"24746","chr14",103250245,103250645,401,"*", 5.398867, 5.857918, 4.721630, 0.8801963,2.047441e-04,0.031024665,"Promoter (<=1kb)",14,103250311,103251690,  1380,1,"102637961","ENSMUST00000244208.1",      0,102637961,Gm34643
"15232","chr11",117497526,117497926,401,"*", 4.522425, 5.066694, 3.638041, 0.9044647,2.058641e-04,0.031055106,"Distal Intergenic",11,117502073,117504683,  2611,1,"78403","ENSMUST00000155384.2",  -4147,78403,2900041M22Rik
"40600","chr2", 18198423, 18198823,401,"*", 3.983467, 4.616221, 2.829793, 0.9116783,2.069816e-04,0.031055106,"Intron (ENSMUST00000028076.15/17354, intron 14 of 22)", 2, 18183840, 18184253,   414,2,"108168725","ENSMUST00000118087.2", -14170,108168725,Gm13351
"55210","chr5", 24792937, 24793337,401,"*", 4.615656, 5.153306, 3.748939, 0.8948675,2.070724e-04,0.031055106,"Promoter (1-2kb)", 5, 24791823, 24796218,  4396,1,"100910","ENSMUST00000197318.2",   1114,100910,Chpf2
"74129","chr9", 44563135, 44563535,401,"*", 4.139865, 4.761807, 3.022872, 0.9187745,2.073200e-04,0.031055106,"Exon (ENSMUST00000214694.2/ENSMUST00000214694.2, exon 3 of 3)", 9, 44581747, 44583558,  1812,2,"115487218","ENSMUST00000244401.1",  20023,115487218,BC049987
"21173","chr13", 94925424, 94925824,401,"*", 5.579128, 5.987713, 5.006983, 0.8567609,2.073794e-04,0.031055106,"Promoter (<=1kb)",13, 94925418, 94979430, 54013,1,"21371","ENSMUST00000220819.2",      6,21371,Tbca
"8627","chr10",118888758,118889158,401,"*", 5.105678, 5.584498, 4.384012, 0.8661224,2.075039e-04,0.031055106,"Promoter (2-3kb)",10,118864195,118886404, 22210,2,"102636674","ENSMUST00000220074.2",  -2354,102636674,Gm33677
"70251","chr8", 68515132, 68515532,401,"*", 5.385322, 5.873739, 4.641356, 0.8509512,2.082369e-04,0.031055106,"Promoter (<=1kb)", 8, 68243122, 68514938,271817,2,"234353","ENSMUST00000150169.8",   -194,234353,Psd3
"66085","chr7", 80654300, 80654700,401,"*", 5.444830, 5.886373, 4.805348, 0.8385973,2.082905e-04,0.031055106,"Intron (ENSMUST00000107353.3/233410, intron 1 of 9)", 7, 80643429, 80694912, 51484,1,"233410","ENSMUST00000107353.3",  10871,233410,Zfp592
"47625","chr3", 79901554, 79901954,401,"*", 5.923518, 6.350505, 5.314355, 0.8480398,2.085926e-04,0.031055106,"Distal Intergenic", 3, 79962199, 80120392,158194,1,"213544","ENSMUST00000194077.2", -60245,213544,A330069K06Rik
"59971","chr6", 17693550, 17693950,401,"*", 5.130127, 5.634304, 4.348442, 0.9127668,2.089015e-04,0.031055106,"Promoter (<=1kb)", 6, 17693946, 17943021,249076,1,"64213","ENSMUST00000115420.8",      0,64213,St7
"11095","chr11", 60831141, 60831541,401,"*", 4.940625, 5.435204, 4.182079, 0.8753341,2.103472e-04,0.031187207,"Promoter (1-2kb)",11, 60832706, 60837597,  4892,1,"26397","ENSMUST00000126043.2",  -1165,26397,Map2k3
"41823","chr2", 38436296, 38436696,401,"*", 5.172036, 5.642263, 4.469925, 0.8374815,2.105848e-04,0.031187207,"Intron (ENSMUST00000054234.10/59126, intron 1 of 9)", 2, 38404638, 38450922, 46285,1,"59126","ENSMUST00000156726.2",  31658,59126,Nek6
"42516","chr2", 71591969, 71592369,401,"*", 4.215544, 4.796991, 3.226039, 0.9175183,2.121391e-04,0.031358230,"Intron (ENSMUST00000133124.8/16403, intron 2 of 5)", 2, 71575960, 71650598, 74639,1,"16403","ENSMUST00000133124.8",  16009,16403,Itga6
"43232","chr2", 92957125, 92957525,401,"*", 5.473601, 5.981985, 4.681603, 0.8759055,2.130856e-04,0.031407285,"Distal Intergenic", 2, 93017893, 93029264, 11372,1,"277414","ENSMUST00000150462.8", -60368,277414,Trp53i11
"76932","chr9",114230053,114230453,401,"*", 6.391686, 6.774750, 5.868619, 0.8196545,2.132712e-04,0.031407285,"Promoter (<=1kb)", 9,114230173,114236344,  6172,1,"100504715","ENSMUST00000111820.4",      0,100504715,Tmppe
"28535","chr16",  4855814,  4856214,401,"*", 4.336981, 4.912996, 3.363493, 0.9097153,2.148896e-04,0.031586358,"Intron (ENSMUST00000115844.3/74022, intron 3 of 15)",16,  4831773,  4867721, 35949,2,"74022","ENSMUST00000115844.3",  11507,74022,Glyr1
"65294","chr7", 63707596, 63707996,401,"*", 5.308967, 5.764128, 4.640246, 0.8559872,2.156210e-04,0.031634630,"Promoter (<=1kb)", 7, 63707350, 63712706,  5357,1,"102635542","ENSMUST00000206468.2",    246,102635542,Gm20670
"36425","chr18", 50112275, 50112675,401,"*", 6.216351, 6.641277, 5.611405, 0.8145327,2.171733e-04,0.031788904,"Promoter (<=1kb)",18, 50112494, 50224068,111575,1,"106869","ENSMUST00000148989.3",      0,106869,Tnfaip8
"35814","chr18", 36009810, 36010210,401,"*", 4.937130, 5.446397, 4.142954, 0.8775127,2.174826e-04,0.031788904,"Promoter (2-3kb)",18, 36007367, 36009090,  1724,1,"105246401","ENSMUST00000235808.2",   2443,105246401,Gm41693
"44272","chr2",131002079,131002479,401,"*", 6.291054, 6.691736, 5.734381, 0.7731457,2.188135e-04,0.031923996,"Promoter (<=1kb)", 2,130988724,131002001, 13278,2,"67326","ENSMUST00000028800.12",    -78,67326,Adissp
"35855","chr18", 36545893, 36546293,401,"*", 4.415957, 5.005755, 3.401355, 0.9170586,2.192750e-04,0.031931978,"Intron (ENSMUST00000025204.7/67199, intron 3 of 3)",18, 36537258, 36584297, 47040,2,"67199","ENSMUST00000237499.2",  38004,67199,Pfdn1
"55659","chr5", 35106699, 35107099,401,"*", 5.868582, 6.332490, 5.180612, 0.8662847,2.199609e-04,0.031972543,"Promoter (<=1kb)", 5, 35106789, 35190939, 84151,1,"71729","ENSMUST00000030984.14",      0,71729,Rgs12
"21032","chr13", 83739787, 83740187,401,"*", 5.540658, 6.018521, 4.821189, 0.8975835,2.215647e-04,0.032127252,"Intron (ENSMUST00000198199.5/17260, intron 3 of 10)",13, 83723796, 83810750, 86955,1,"17260","ENSMUST00000199210.5",  15991,17260,Mef2c
"77061","chr9",118348832,118349232,401,"*", 4.905465, 5.419789, 4.098733, 0.8839979,2.218439e-04,0.032127252,"Intron (ENSMUST00000084820.6/54214, intron 2 of 23)", 9,118343248,118377732, 34485,1,"54214","ENSMUST00000212461.2",   5584,54214,Golga4
"45635","chr2",164876499,164876899,401,"*", 5.865843, 6.271184, 5.300079, 0.7952678,2.226634e-04,0.032175595,"Promoter (<=1kb)", 2,164842277,164876787, 34511,2,"228869","ENSMUST00000040381.15",      0,228869,Ncoa5
"54251","chr4",149485922,149486322,401,"*", 4.961282, 5.472558, 4.162136, 0.8814676,2.239429e-04,0.032175595,"Promoter (2-3kb)", 4,149482969,149483835,   867,2,"63958","ENSMUST00000131986.2",  -2087,63958,Ube4b
"70101","chr8", 61343340, 61343740,401,"*", 5.023811, 5.541301, 4.209140, 0.8628700,2.247540e-04,0.032175595,"Promoter (<=1kb)", 8, 61343452, 61360609, 17158,1,"72612","ENSMUST00000146863.2",      0,72612,Hpf1
"2548","chr1",131286676,131287076,401,"*", 4.349264, 4.967445, 3.244757, 0.9139996,2.247765e-04,0.032175595,"Intron (ENSMUST00000097588.9/14270, intron 5 of 22)", 1,131224379,131291802, 67424,2,"14270","ENSMUST00000185596.2",   4726,14270,Srgap2
"43376","chr2",102230769,102231169,401,"*", 4.638092, 5.185772, 3.744483, 0.9135962,2.254888e-04,0.032175595,"Promoter (<=1kb)", 2,102130464,102231245,100782,2,"80985","ENSMUST00000102573.8",     76,80985,Trim44
"54675","chr4",155058750,155059150,401,"*", 5.404430, 5.880219, 4.689705, 0.8510100,2.255675e-04,0.032175595,"Promoter (<=1kb)", 4,155058990,155065395,  6406,1,"269614","ENSMUST00000105632.8",      0,269614,Pank4
"21130","chr13", 93624648, 93625048,401,"*", 4.758601, 5.288748, 3.911560, 0.8865644,2.255859e-04,0.032175595,"Intron (ENSMUST00000065537.9/57748, intron 1 of 10)",13, 93600085, 93636245, 36161,2,"57748","ENSMUST00000220513.2",  11197,57748,Jmy
"68946","chr8",  8971501,  8971901,401,"*", 5.550787, 6.005105, 4.883902, 0.8723927,2.259054e-04,0.032175595,"Intron (ENSMUST00000209045.2/ENSMUST00000209045.2, intron 3 of 3)", 8,  8785970,  8805337, 19368,1,"105243116","ENSMUST00000209128.2", 185531,105243116,Gm39127
